papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
BRGE6;10.51;9.22;0.6;203.475;0.0728;0.229;0.66;-1.04;1.62;1.01;1.03;-195.54;33.3559;-0.39990000000000003;0.06509999999999999;2.33;109.83;1289790000.0;0.0;-0.4365
BRGE8;9.7;8.51;0.55;187.793;0.0329;0.211;0.61;-0.96;1.49;1.09;1.11;-195.54;33.3559;-0.39990000000000003;0.06509999999999999;2.33;314.9;1289790000.0;0.0;-0.4365
BRIT3;2.16;30.51;0.71;1.063;0.0005;0.31;2.57;6.31;-1.08;10.45;4.07;0.1685;0.0349;0.06509999999999999;0.0233;1.76;1165540.0;1362930000.0;0.97;0.0
BRIV3;9.69;7.24;0.51;0.0;0.0219;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0707;0.0;5664.46;1678620000.0;0.0;0.4775
BRIV4;9.48;7.08;0.5;0.0;0.0654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0707;0.0;11820.7;1678620000.0;0.0;0.4775
BRKM3;21.01;8.79;1.93;0.158;0.08070000000000001;0.182;1.26;1.3;-0.36;2.97;2.18;0.122;0.014499999999999999;0.198;0.2193;1.53;382613.0;8689360000.0;4.12;0.2027
BRKM5;20.68;8.65;1.9;0.156;0.08199999999999999;0.179;1.24;1.28;-0.35;2.95;2.17;0.122;0.014499999999999999;0.198;0.2193;1.53;83941800.0;8689360000.0;4.12;0.2027
BRKM6;19.0;7.95;1.74;0.143;0.0;0.164;1.14;1.17;-0.32;2.85;2.09;0.122;0.014499999999999999;0.198;0.2193;1.53;4678.12;8689360000.0;4.12;0.2027
BRPR3;245.84;-1.87;0.65;9.594;0.41159999999999997;0.605;1.34;17.78;1.43;15.97;15.77;0.5397;-5.1197;0.0363;-0.34490000000000004;12.93;14240500.0;4416020000.0;0.0;-0.08109999999999999
BRSR3;11.14;6.37;0.48;0.0;0.0791;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0759;0.0;51490.2;9413890000.0;0.0;0.0177
BRSR5;15.3;8.75;0.66;0.0;0.0584;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0759;0.0;1790.46;9413890000.0;0.0;0.0177
BRSR6;10.18;5.82;0.44;0.0;0.0866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0759;0.0;15645300.0;9413890000.0;0.0;0.0177
BSLI3;14.5;12.36;2.47;0.0;0.0134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1998;0.0;5257.95;2131890000.0;0.0;0.0002
BSLI4;12.0;10.23;2.04;0.0;0.0179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1998;0.0;5335.98;2131890000.0;0.0;0.0002
BTTL3;20.19;10.68;7.92;0.546;0.0;1.535;19.75;9.55;-5.67;9.95;7.79;0.0571;0.051100000000000007;0.2256;0.7412000000000001;1.17;395854.0;37891000.0;1.12;0.3972
CALI3;8.5;6.33;1.6;0.329;0.0508;0.141;0.4;3.94;-0.44;13.53;13.0;0.0836;0.052000000000000005;0.043899999999999995;0.25329999999999997;2.44;725.34;19711000.0;5.34;1.2216
